0	11.1112	11.3239	10.9119	10.9784	10.9814	11.0521
1	10.5491	10.7093	10.3579	10.7251	10.5264	10.4323
2	10.6551	10.8127	10.9029	11.8222	10.8167	11.0604
3	11.0292	11.2381	11.0323	11.927	11.1809	11.3407
4	10.119	10.0421	9.932	10.8381	10.2119	10.2711
5	11.6044	11.1713	11.23	12.1126	11.538	11.7053
6	12.8179	12.4048	11.7247	12.4528	12.784	12.7347
7	10.8221	10.7648	10.0373	9.94965	10.6404	10.6937
8	10.1378	10.3004	10.1865	10.3264	10.1876	10.3297
9	11.1448	10.9138	10.6159	10.6668	11.16	10.982
10	13.7767	13.1024	12.8281	12.7814	13.8265	13.4789
11	12.0408	11.4231	10.9566	11.3259	12.1054	12.1364
12	13.3998	12.8243	12.1476	12.6706	13.3433	13.1232
13	11.0683	10.6595	9.70678	10.2542	11.3583	11.0589
14	11.673	10.9406	10.332	10.3696	11.7297	11.3838
15	13.0453	12.4325	12.084	11.775	12.6568	12.7867
16	9.75792	9.45149	8.92749	8.85404	9.85481	9.78776
17	10.6687	10.272	9.63666	9.56066	10.5918	10.4216
18	11.1942	10.4889	10.0398	9.64504	10.8251	10.8798
19	9.42521	9.13788	8.80571	8.62453	9.39549	9.38488
20	10.961	10.4719	10.4303	9.93702	10.9724	10.7309
21	10.974	10.9709	10.6332	11.1672	10.9472	10.8801
22	9.94765	9.834	9.77255	10.1331	9.76815	9.93269
23	8.62645	8.71074	8.38227	8.48447	8.58761	8.56201
24	12.454	12.9155	12.5829	12.5707	12.5321	12.498
25	10.238	10.4625	10.6696	10.306	10.3494	10.472
26	9.88589	10.0098	10.0047	9.95865	9.93341	9.97276
27	12.3362	12.3473	11.984	12.0403	12.1798	12.4684
28	13.9366	13.9176	13.4802	13.347	13.9764	14.2051
29	14.9944	14.8216	13.6402	13.7261	14.6426	14.7673
30	14.619	14.4487	13.722	13.8681	14.3202	14.7138
31	17.6005	17.2389	17.0184	16.5391	17.3174	17.5161
32	15.4183	14.8405	14.1918	14.7095	15.3932	15.0114
33	13.7906	13.4537	12.9125	13.5932	13.8406	13.6593
34	12.3057	12.2654	12.1813	12.5717	12.4608	12.5123
35	11.9399	11.7832	11.6978	11.9298	11.8288	11.9181
36	13.1367	13.0979	13.1699	12.2828	13.3449	13.0082
37	11.677	11.043	11.124	10.2027	11.3339	11.1863
38	19.5617	19.1361	19.9218	20.2733	18.7317	20.1729
39	12.7022	13.7517	13.6359	14.041	14.0961	13.9658
40	11.9886	11.7395	11.6789	10.542	12.1831	11.2766
41	10.978	10.4061	10.0215	9.65942	10.5233	10.3018
